instance, algorithm, value, runningTime, initialValue, steps, evaluatedSolutions
had12, greedy-3swap, 1652, 968, 1832, 16, 1392 
had12, greedy-3swap, 1678, 61, 1886, 21, 472 
had12, greedy-3swap, 1678, 35, 1866, 19, 675 
had12, greedy-3swap, 1676, 26, 1916, 20, 376 
had12, greedy-3swap, 1652, 33, 2018, 18, 773 
had12, greedy-3swap, 1676, 22, 1954, 21, 497 
had12, greedy-3swap, 1676, 40, 1850, 13, 493 
had12, greedy-3swap, 1708, 72, 1942, 22, 731 
had12, greedy-3swap, 1676, 80, 1852, 16, 765 
had12, greedy-3swap, 1682, 32, 1938, 18, 365 
had12, greedy-3swap, 1656, 18, 1832, 16, 438 
had12, greedy-3swap, 1660, 24, 1946, 14, 442 
had12, greedy-3swap, 1676, 23, 1890, 17, 715 
had12, greedy-3swap, 1674, 38, 1804, 12, 560 
had12, greedy-3swap, 1656, 14, 1878, 18, 478 
had12, greedy-3swap, 1660, 27, 1798, 14, 404 
had12, greedy-3swap, 1664, 37, 1890, 20, 631 
had12, greedy-3swap, 1684, 54, 1956, 29, 562 
had12, greedy-3swap, 1652, 39, 1884, 23, 1341 
had12, greedy-3swap, 1656, 15, 1838, 15, 413 
had12, greedy-3swap, 1664, 18, 1846, 16, 585 
had12, greedy-3swap, 1682, 20, 1936, 16, 463 
had12, greedy-3swap, 1660, 36, 1930, 21, 607 
had12, greedy-3swap, 1662, 20, 1960, 24, 1001 
had12, greedy-3swap, 1682, 14, 1948, 19, 496 
had12, greedy-3swap, 1682, 17, 1822, 11, 556 
had12, greedy-3swap, 1676, 20, 1902, 25, 757 
had12, greedy-3swap, 1660, 20, 1878, 22, 723 
had12, greedy-3swap, 1660, 15, 1926, 22, 549 
had12, greedy-3swap, 1652, 41, 1822, 17, 1181 
had12, greedy-3swap, 1656, 36, 1894, 21, 671 
had12, greedy-3swap, 1680, 54, 1864, 21, 604 
had12, greedy-3swap, 1674, 32, 1856, 16, 535 
had12, greedy-3swap, 1682, 14, 1848, 12, 468 
had12, greedy-3swap, 1656, 21, 1900, 19, 831 
had12, greedy-3swap, 1682, 12, 1852, 14, 210 
had12, greedy-3swap, 1656, 22, 1952, 30, 838 
had12, greedy-3swap, 1674, 16, 1918, 19, 488 
